user_id	trackcount
100003454	1
100004844	1
100009197	1
100012024	1
100015923	8
100019214	2
100019379	1
100023654	1
100040029	7
100049782	2
100055550	1
100056650	13
100056724	2
100057108	1
100059703	1
100060419	1
100062373	1
100062704	1
100068103	36
100072357	1
100072931	7
100074143	4
100074933	2
100076201	1
100077635	1
100078539	1
100082926	1
100083009	31
100085317	1
100088673	1
100089837	1
100093852	1
100096499	1
100096861	1
100098277	1
100099334	6
100102888	3
100103922	8
100104557	1
100104751	7
100105187	1
100112276	1
100114882	1
100118246	1
100120537	1
100123314	1
100125942	2
100129304	2
100132079	1
100134670	10
100134837	1
100135718	1
100136431	1
100144651	1
100144979	1
100147111	3
100148006	1
100148441	1
100148444	2
100150613	1
100150866	1
100154370	5
100154524	1
100155908	1
100156685	1
100162378	1
100163702	1
100163800	1
100167359	1
100169980	2
100171346	3
100171824	1
100172443	16
100178029	1
100181472	2
100181486	2
100184079	3
100184529	3
100186097	3
100186673	1
100188065	1
100188786	2
100191772	1
100200009	53
100200582	5
100203058	1
100205879	1
100210151	1
100210702	3
100211590	12
10021182	1
100212170	1
100216014	1
100219961	4
100222024	2
100222161	1
100223436	1
100227180	3
100227827	1
100229403	1
100230851	1
100233310	1
100233482	2
100240105	1
100240867	5
100243158	2
100243385	1
100244714	4
100251430	4
100252265	2
100257557	1
100259370	1
10025942	1
100262908	2
100269763	1
100273592	1
100277626	1
100278031	20
100279984	1
100280358	1
100282001	2
100282871	69
100283845	1
100283848	2
100284269	1
100288257	7
100291177	14
100295427	2
100295644	2
100297951	2
100305622	1
100308170	1
100310633	1
100317555	3
100319366	2
100325956	2
100328863	1
100330842	1
100332680	1
100333254	3
100336261	2
100337906	5
100343667	1
100344592	2
100345345	2
100347538	10
100355825	2
100358352	5
100361358	1
100366249	4
100368475	1
100368568	1
100369315	1
100371876	1
100371974	1
100372916	1
100376786	2
100376933	1
100377666	1
100381612	8
100382009	4
100384313	1
100385224	2
100385311	1
100386240	3
100387975	5
100391395	3
100392307	1
100396753	1
100399124	28
100400638	1
100400847	1
100400876	26
100402391	1
100403226	1
100404188	2
100405970	2
100408081	1
100414113	1
100414205	1
100417895	1
100418429	2
100424521	1
100428421	3
100430592	1
100430667	2
100431552	14
100431696	1
100431906	4
100446205	1
100446499	21
100446733	1
100454332	2
100454603	1
100455239	1
100456307	2
100458157	1
100458710	10
100460614	1
100462742	1
100463838	1
100465856	3
100470186	1
100471536	1
100473741	4
100474376	3
100480060	1
100483673	1
100488472	1
1004891	2
100495542	1
100499385	3
100500499	1
100511224	2
100512342	1
100513149	4
100515485	1
100515777	6
100515830	2
100516913	8
100526507	1
100528085	1
100531137	1
100532440	1
100535028	1
100535039	1
100535716	10
100536467	5
100540081	14
100547942	2
100550426	1
100552639	2
100552676	1
100553960	2
100555395	4
100555623	1
100556167	4
100558291	1
100560558	2
100560704	2
100562796	2
100564852	1
100565688	2
100572829	2
100576812	1
100578139	1
100579512	1
100582995	4
100584600	1
100589322	1
100589479	1
100593222	1
100598057	7
100598248	1
100598717	1
100599478	5
100605739	1
100608546	11
100620118	2
100620542	4
100622265	2
100631515	1
100632704	9
100635242	1
100644619	2
100644746	1
100648998	2
100650270	66
100652600	4
100655081	1
100655689	1
100656267	1
100662742	1
100663046	3
100664687	1
100667914	1
100667950	2
100669506	1
100670742	5
100671571	1
100672023	1
100674809	1
100679281	5
100679610	18
100684078	1
100688799	2
100692095	5
100695101	1
100697105	1
100697419	2
100698272	1
100700009	1
100701262	2
100701395	1
100703052	1
100703479	5
100704049	1
100707994	1
100710278	1
100710582	1
100710793	2
100712082	2
100712086	1
100714470	4
100720985	1
100721384	6
100724907	1
100727416	1
100729540	1
100731112	1
100733698	2
100736465	1
100737728	1
100738026	1
100738116	1
100743281	1
100745853	2
100748029	1
100748542	7
100749518	2
100750176	1
100752079	3
100752455	1
100756485	1
100759427	2
100762795	2
100763452	1
100763653	1
100764062	1
100764882	6
10076552	1
100766561	1
100766664	1
100769562	1
100770699	8
100771030	2
100776442	2
100783244	4
100785492	4
100786166	5
100787410	1
100790105	1
100791070	1
100791297	1
100792726	1
100796040	1
100798791	4
100799005	2
100801662	1
100801687	1
100803500	7
100806355	1
100806508	1
100807170	1
100809569	5
100811936	2
100818737	18
100819301	159
100820880	1
100821139	3
100822456	1
100822930	2
100824557	8
100829632	1
100829710	1
100829937	2
100832468	1
100833871	3
100833984	1
100834591	1
100835312	1
100835378	1
100837221	3
100837695	2
100837927	1
100839386	1
100842171	15
100842634	6
100849744	9
100852870	104
100853933	1
100863982	10
100864440	2
100866912	3
100868972	2
100873354	1
100875065	3
100875102	6
100875731	1
100877843	4
100877855	2
100878865	1
100882257	3
100883455	1
100884815	13
100892716	5
100893453	4
100893919	1
100895167	1
100897292	45
100898823	1
100904313	5
100906088	21
100906736	1
100910665	1
100912201	1
100912474	1
100925191	1
100925894	1
100927928	1
100929165	2
100929333	1
100932262	37
100937684	1
100938977	1
100939083	1
100946490	1
100947907	1
100950788	1
100951283	1
100957043	1
100957287	10
100957714	3
100958604	4
100958620	7
100961043	2
100965656	1
100971591	1
100974908	12
100979887	1
100981091	27
100988754	1
100990880	1
100991831	8
100995347	2
100995709	1
100996879	1
101000203	7
101004391	1
101004473	1
101005483	5
101019593	1
101019987	1
101021923	5
101024423	6
101026999	8
101031855	1
101032830	1
101032879	2
101033406	2
101033764	1
101034806	5
101035883	1
101036884	1
101036901	3
101039129	1
101042506	4
101042515	1
101043570	1
101045293	3
101046717	1
101047907	32
101049446	1
101051965	2
101052276	2
101056693	1
101057569	2
101058319	1
101058963	1
101059129	1
101062729	4
101062938	1
101063139	1
101063946	1
101065393	1
101065395	1
101067488	1
101068979	1
101071620	14
101071663	2
101076880	1
101077607	12
101077966	7
101078090	1
101078161	2
101081142	1
101081285	1
101082116	2
101082124	2
101084405	3
101091129	1
101093455	1
101094519	1
101095046	2
101095839	2
101099701	1
101099828	23
101100349	2
101103223	1
101113951	7
101114407	1
101117244	2
101118179	5
101120138	1
101121100	1
101125580	1
101126277	1
101129879	1
101130517	1
101131216	1
101132096	8
101134884	7
101135052	2
101135223	3
101135769	5
101135998	1
101136022	2
101136894	11
101139621	6
101142308	1
101143213	1
101144625	1
101144960	2
101145065	1
101145387	2
101147461	1
101147777	1
101148895	7
101151405	3
101151554	2
101152357	1
101152435	2
101152535	11
101154083	1
101161531	1
101162030	2
101163110	5
101163654	1
101163801	1
101170013	8
101170656	1
101170898	2
101171185	3
101173388	1
101174166	6
101174358	13
101175595	1
101181471	2
101182993	1
101183818	2
101185160	2
101186125	4
101191669	1
101191883	1
101192216	2
101195684	2
101207567	1
101213152	1
101214697	1
101217264	1
101218651	2
101220896	2
101224751	1
101227162	3
101227262	1
101232692	1
101234554	1
101239533	1
101242595	3
101243229	1
101243394	1
101244394	2
101245761	2
101245972	1
101249683	3
101251387	2
101252335	2
101253095	1
101253422	5
101254025	1
101254152	1
101254428	1
101255336	3
101259369	1
101261563	2
101263532	5
101267124	4
101267898	5
101268203	1
101268330	1
101269025	1
101270701	2
101277803	2
101278249	1
101284850	2
101288182	1
101288366	1
101290224	1
101290964	1
101291609	1
101292760	1
101295505	1
101297975	4
101299077	1
101302875	1
101304591	3
101305445	1
101305794	1
101305917	1
101306931	1
101307027	1
101307175	1
101307529	1
101308645	1
101313033	5
101313170	1
101314423	1
101314539	1
101315727	1
10132022	1
101324671	3
101329930	1
101332290	3
101335833	3
101338440	18
101339470	1
101339792	2
101345733	1
101345926	1
101346228	3
101346664	1
101348791	2
101349533	3
101355903	4
101356868	1
101360994	5
101365012	9
101371171	3
10137202	1
101372292	1
101375331	1
101377622	1
101381346	1
101381544	60
101385812	2
101387555	5
101388969	1
101389673	3
101390016	4
101390521	1
101391356	1
101399808	2
101400003	1
101400969	1
101413363	2
101417160	1
101420022	1
101421746	1
101422519	2
101424184	2
101428009	1
101430838	1
101434750	1
101438992	3
101439421	1
101440035	1
101442094	1
101444104	1
101444110	1
101450470	1
101451835	1
101454085	1
101455948	3
101458516	1
101459827	1
101460959	1
101467709	16
101470449	10
101473343	1
101473778	12
101476363	5
101480034	7
101480618	1
101482256	1
101483761	1
101488146	2
101497880	1
101505006	1
101516751	1
101521067	1
101522199	3
101522460	4
101523952	1
10152402	1
101526600	1
101531810	1
101533065	25
101539181	2
101539382	1
101543012	66
101547957	2
101548030	1
101549204	1
101549702	1
101550298	1
101551208	1
101558119	4
101558274	1
101561609	1
101563861	1
101565026	1
101565476	2
101566729	2
101569926	103
101573842	1
101574812	2
101575960	2
101580232	7
101581583	3
101581972	1
101582911	6
101583806	5
101583897	3
101586823	4
101591824	1
101596621	1
101604034	2
101606628	1
101607243	10
101609154	1
101610911	3
101612031	1
101613624	1
101616152	2
101618767	4
101622021	1
101624189	2
101624282	1
101629831	2
101630912	6
101634926	2
101636572	1
101636818	2
101638954	1
101638992	2
101642718	1
101642922	1
101645063	2
101652005	3
101654097	1
10165562	16
101659801	1
101661499	1
101662973	1
101667078	1
101669733	1
101672012	1
101673053	2
101677782	1
101677938	1
101684636	3
101684651	1
101687807	3
10168922	1
101689488	2
101689593	1
101692549	2
101693314	3
101694870	1
101695674	19
101701431	1
101705093	1
101707305	5
101709946	1
101713682	1
101718092	1
101722484	1
101723476	1
101724658	2
101726279	1
101728750	2
101731886	1
101734344	2
101738530	2
101739822	1
101740821	1
101747119	3
101747842	7
101748580	1
101749425	1
101750382	1
101751889	2
101754851	1
101755762	3
101756988	1
101758631	1
101760859	1
101761748	1
101765988	2
101776825	1
101782540	1
101784644	1
101787063	1
101794019	1
101795190	5
101797055	1
101797159	1
101798052	3
101803332	1
101803514	1
101804749	1
101805685	2
101810329	2
101810407	3
101811723	1
101814607	3
101815872	1
101820812	13
101822754	1
101825703	1
101830527	1
101833565	2
101836304	7
101841752	10
101844308	3
101845332	1
101845567	32
101848169	2
101854149	1
101862913	2
101863767	1
101866507	2
101880681	1
101882854	1
101885153	1
101885909	1
101890983	4
101892154	5
101892720	1
101893555	4
101895864	1
101897135	1
101897599	4
101899567	1
101901184	1
101901380	1
101902781	1
101905076	1
101909760	2
101918299	1
101920691	1
101923637	4
101924510	1
101926675	2
101933892	1
101933941	1
101934361	2
101935920	6
101938638	26
101939737	1
101939948	3
101943100	7
101945427	1
101946823	1
101949529	3
101949541	5
101950174	1
101953881	17
101956535	1
101956897	1
101958075	2
101959455	1
101959964	1
101960766	1
101961775	2
101962399	2
101962948	12
101964088	1
101965333	6
101965633	4
101967670	2
101971034	2
101971795	1
101972425	1
101972827	1
101974581	1
101975152	4
101977233	2
101977237	2
101979602	2
101980994	1
101983023	15
101986409	1
101986932	3
101994898	2
101997693	2
102007287	7
102011717	6
102016262	1
102017311	1
102023837	1
102028927	1
102031693	1
102032206	2
102035854	1
102037198	9
102038852	1
102041292	1
102042018	1
102042853	10
102049945	1
10205602	1
102059668	2
102062989	1
102064843	1
102065466	3
102071653	5
102072719	1
102073282	2
102075424	1
102076431	1
102084571	1
102084657	2
102087719	2
102088527	3
102088865	2
102094523	1
102099064	1
102100454	2
102101278	3
102101900	1
102107841	4
102113817	1
102114291	1
102116721	5
102124478	5
102134047	1
102138561	4
102140233	1
102142517	3
102144954	1
102145196	5
102145961	2
102147452	1
102147518	2
102148561	50
102158007	1
102159091	10
102160786	3
102162052	1
102162432	1
102162769	1
102164804	1
102165480	1
102166625	1
102167157	4
102168563	1
102176973	12
102182784	1
102184539	2
102185515	27
102197098	11
102199359	4
102205319	1
102206191	1
102214606	2
102217269	1
102217505	2
102217519	3
102217921	1
102226207	1
102227607	1
102229815	3
102231011	1
102233221	1
10223472	2
102235251	1
102235526	5
102237960	1
102239833	1
102243505	1
102243993	1
102247260	1
102247636	17
102249974	5
102253870	1
102255688	1
102256033	1
102270569	1
102271361	1
102274873	1
102274880	1
102279630	1
102279956	2
102282833	2
102283513	3
102286502	1
102287757	1
102291124	1
10229352	3
102293666	1
102296177	1
102297617	1
102304578	1
102306249	5
102317167	38
102319437	2
102320865	7
102325662	3
102325851	5
102329203	1
102334515	1
102335323	1
102335385	1
102336563	1
102343593	2
102345308	80
102345585	2
102345851	2
102346983	1
102347536	1
102350488	3
102351848	1
102352525	1
102353538	2
102361318	1
102361342	1
102365197	1
102367904	1
102375398	3
102376148	1
102379446	1
102388480	1
102389016	1
102391379	6
102392634	10
102393047	6
102393584	1
102402044	4
102403139	1
102403598	1
102408959	3
102409395	2
102412288	1
102419044	11
102419787	1
102422745	1
102423355	8
102427876	1
102433734	2
102439462	6
102439536	3
102440297	6
102443669	22
102445455	1
102450112	1
102451425	1
102454059	114
102455314	1
